DATA JUMLAH POSYANDU TAHUN 2022,,,
NO,RW,NAMA POSYANDU,
1,RW 1,SAKURA A,
,,SAKURA B,
2,RW 2,ASTER,
3,RW 3,MULYASARI,
4,RW 4,KENANGAN IV A,
,,KENANGAN IV B,
,,KENANGAN IV C,
5,RW 5,ROSMAWAR,
6,RW 6,BAHAGIA A,
,,BAHAGIA B,
7,RW 7,DEWI SARTIKA 1,
8,RW 8,SUDALI,
9,RW 9,CITRA I,
,,CITRA III,
10,RW 10 ,WIJAYAKUSUMA,
11,RW 11,DELIMA,
12,RW 12,ASRI,
13,RW 13,DEWI SARTIKA 2,
14,RW 14,SEDAP MALAM,
15,RW 15,DEWI SARTIKA 3,
JUMLAH ,,20 POSYANDU,
,,,
,,,
,,,
,,,
,,,
LURAH SUKAPURA,,,KASI PUSKESOS
,,,
,,,
"MELINASARI, S.Kom",,,"N.YULIANTI, SE."
