JUMLAH PENDIDIKAN FORMAL,,,,,,,,,,,,,,,,,,,
KELURAHAN SUKAPURA 2023,,,,,,,,,,,,,,,,,,,
NO,NAMA SEKOLAH,ALAMAT SEKOLAH,JUMLAH SISWA,,,,,,,,,,,,,,,,
1,PAUD ASTER,SUKAPURA RT 07 RW 02,58,,,,,,,,,,,,,,,,
2,PAUD BUGENVIL,SUKAPURA RT 01 RW 05,52,,,,,,,,,,,,,,,,
3,PAUD WIJAYA KUSUMAH ,LEMAH HEGAR RT 01 RW 05,50,,,,,,,,,,,,,,,,
4,TK PGRI HARAPAN BANGSA I,Jl.Terusan PSM RT 01 RW 05,46,,,,,,,,,,,,,,,,
5,TK PGRI HARAPAN BANGSA II,Jl.Sukabakti RW 13,40,,,,,,,,,,,,,,,,
6,TK PLUS SBB AL HUDA MIFTAHUL JANNAH ,KPAD PINDAD TIMUR RT 03 RW 08,27,,,,,,,,,,,,,,,,
7,TK DARUL FIKRI,Jl.LEMAH HEGAR NO 29 B RT 09 RW 04,33,,,,,,,,,,,,,,,,
8,TK HAS DARUL ILMI ,Jl.Cidurian Utara No. 179 RT 03 RW 13,20,,,,,,,,,,,,,,,,
9,TK AL MUHAJIRIN ,Jl.LEMAH HEGAR RW04,20,,,,,,,,,,,,,,,,
10,TK DARUSALLAM ,Jl. Kiara Asri Barat No.2,15,,,,,,,,,,,,,,,,
11,TK KB ANAK INDONESIA CERIA ,Komplek Taman  Raflesia RW 14,30,,,,,,,,,,,,,,,,
12,TK DARUS KHOIR ,Jl.Cidurian Utara No. 68,17,,,,,,,,,,,,,,,,
13,TK AL-KAUSAR ,RW 06,40,,,,,,,,,,,,,,,,
14,TK AL-HANIFAH ,Jl.LEMAH HEGAR RW 04,45,,,,,,,,,,,,,,,,
15,SDN BABAKAN SINYAR ,Jl.Sentral Utara RT 03 RW03,814,,,,,,,,,,,,,,,,
16,SDN SEKEJATI 159,Jl.Cidurian Utara No.22 RT 04 RW 10,695,,,,,,,,,,,,,,,,
17,SDN SEKEJATI 017,Jl.Cidurian Utara No.12 RT 02 RW 10,305,,,,,,,,,,,,,,,,
18,SDN BABAKN SENTRAL 221,Jl.Terusan PSM RT 01 RW 05,630,,,,,,,,,,,,,,,,
19,SD HAS DARUL ILMI ,JL.Cidurian Utara No.179 RT 03 RW 13 ,113,,,,,,,,,,,,,,,,
20,SDN SUKAPURA ,Jl.Terusan PSM RT 01 RW 05,945,,,,,,,,,,,,,,,,
21,SDN PINDAD ,Jl.Papangguan No.1 RT 04 RW 11,592,,,,,,,,,,,,,,,,
22,SD AR RAFI,Jl.KEMAKMURAN 2 KMP RIUNG BDG,502,,,,,,,,,,,,,,,,
23,SMP Ar-Rafi,Jl. Sekejati No.32,500,,,,,,,,,,,,,,,,
24,SMPN 30,Jl.Sekejati No.23 RT 08 RW 11,1083,,,,,,,,,,,,,,,,
25,SMAN 12,Jl.Sekejati No.36 RT 08 RW 11,1054,,,,,,,,,,,,,,,,
26,SMK INFORMATIKA ,Jl.Soekarno Hatta No. 623,800,,,,,,,,,,,,,,,,
27,SMK MEDIKACOM,Jl.Soekarno Hatta No. 617/619,22,,,,,,,,,,,,,,,,
28,UNIBI INDONESIA ,Jl.Soekarno Hatta No.643 RT 09 RW 11,700,,,,,,,,,,,,,,,,
29,FAK TEKNIK UNJANI,Jl.PAPANGGUNGAN No.I  RT 09 RW 11,1400,,,,,,,,,,,,,,,,
30,SLB-B SUKAPURA ,Jl.Sukapura No.4 RT 01 RW 05,31,,,,,,,,,,,,,,,,
31,SLB-C,Komplek Bumi Asri Sukapura RT 04 RW 04,59,,,,,,,,,,,,,,,,
JUMLAH ,,,10738,,,,,,,,,,,,,,,,
