Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Jenjang Sekolah,Nama Sekolah,Alamat Sekolah
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,KOBER,KOBER Harapan Mekar,Jl. Kebon Jayanti No. 146/134A RT 03 RW 08
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,KOBER,KOBER Arroyan,Kebon Jayanti No. 3/134A RT 01 RW 04
32.73.16,Kiaracondong,32.73.16.1006,Kebon Kangkung,KOBER,KOBER Al-Fatah,Kebon Kangkung IV RW 06
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,SLB,SLB-B,Komplek Parakan Mas
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,SLB,SLB-C,Kebon Jayanti
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,PAUD,PAUD Teratai Bangsa,Kebon Jayanti
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,PAUD,PAUD Tunas Jayanti,Jl. Stasiun Lama Kiaracondong RT 05 RW 01
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,PAUD,PAUD Taam Ash Shobariyah,Jl. Kebon Jayanti RT 05 RW 12
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,PAUD,PAUD Aster,Sukapura RT 07 RW 02
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,PAUD,PAUD Bugenvil,Sukapura RT 01 RW 05
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,PAUD,PAUD Wijaya Kusumah,Lemah Hegar RT 01 RW 05
32.73.16,Kiaracondong,32.73.16.1006,Kebon Kangkung,PAUD,PAUD Flamboyan,Jl. Papanggungan RW 09
32.73.16,Kiaracondong,32.73.16.1006,Kebon Kangkung,PAUD,PAUD Dahlia,Jl. Warung Jambu
32.73.16,Kiaracondong,32.73.16.1003,Babakan Surabaya,PAUD,PAUD Flamboyan,Babakan Surabaya RW 13
32.73.16,Kiaracondong,32.73.16.1004,Cicaheum,PAUD,PAUD Binangkit,Gg. Jibja RW 02
